Transaction_ID,Transaction_Flag,Transaction_Date,Transaction_Type,Transaction_Amount,Bank_ID,CC_ID,Card_Type,Card_Holder,Channel_ID,Merchant_ID,Country_ID,City_ID,EDC_Type,EDC_Location,EDC_Owner,Average_Transaction_Amount,Maximum_Transaction_Amount,Minimum_Transaction_Amount,Average_Transaction_Frequency,Fraud_Status
TX00002,FALSE,2018-01-01 01:48:51,T08,50000,1,CCID5563,CC11,2,1,M0001,CTY06,CTY06-133,EDC0885,LEDC3703,OEDC0377,661855.03,11000000,24212,2.91,0
TX00004,FALSE,2018-01-01 09:08:53,T01,1000000,1,CCID4598,CC08,2,1,M0001,CTY06,CTY06-129,EDC0565,LEDC3205,OEDC0377,2171907.1,28555000,100000,3.12,1
TX00005,FALSE,2018-01-01 09:08:53,T15,1000000,1,CCID2839,CC08,2,1,M0001,CTY06,CTY06-073,EDC4639,LEDC3081,OEDC0377,1714437.98,8500000,50,3.58,0
TX00006,FALSE,2018-01-01 09:45:56,T15,1000000,1,CCID2968,CC08,2,1,M0001,CTY06,CTY06-129,EDC3918,LEDC1993,OEDC0377,10163708.23,100000000,63000,2.57,0
TX00007,FALSE,2018-01-01 23:41:59,T10,2500000,1,CCID0176,CC12,2,1,M0001,CTY06,CTY06-133,EDC2863,LEDC2062,OEDC0377,690066.65,3523000,26500,4.23,0
TX00008,FALSE,2018-01-02 01:07:41,T03,1137548,1,CCID0475,CC08,2,1,M0001,CTY06,CTY06-023,EDC1726,LEDC1081,OEDC0377,1562360.69,17000000,100000,3.63,0
TX00009,FALSE,2018-01-02 01:07:41,T13,1950000,1,CCID2751,CC11,2,1,M0001,CTY06,CTY06-133,EDC1711,LEDC3789,OEDC0377,774660.17,5000000,50000,1.94,0
TX00010,FALSE,2018-01-02 07:32:07,T01,200000,1,CCID5836,CC00,2,1,M0001,CTY06,CTY06-181,EDC2235,LEDC1507,OEDC0377,741681.11,20000000,11000,2,0
TX00014,FALSE,2018-01-02 15:36:09,T06,1500000,1,CCID4153,CC08,1,5,M0001,CTY06,CTY06-023,EDC0002,LEDC1005,OEDC1483,3433434.11,28000000,49360,4.47,0
TX00015,FALSE,2018-01-02 19:23:07,T06,200000,1,CCID3405,CC11,1,5,M0001,CTY06,CTY06-181,EDC0002,LEDC0182,OEDC0351,396660.21,2500000,25000,1.24,0
TX00016,FALSE,2018-01-02 20:14:04,T01,700000,1,CCID0339,CC00,2,1,M0001,CTY06,CTY06-083,EDC4224,LEDC5653,OEDC0377,1092592.59,3500000,100000,5.2,0
TX00018,FALSE,2018-01-02 22:44:36,T04,26500,1,CCID2351,CC04,2,1,M0001,CTY06,CTY06-133,EDC2048,LEDC1314,OEDC0377,180240.53,1000000,20300,2.19,0
TX00019,FALSE,2018-01-02 22:44:36,T08,30000,1,CCID7074,CC10,2,1,M0001,CTY06,CTY06-023,EDC1546,LEDC0868,OEDC0377,822954.57,2500000,30000,1.84,1
TX00020,FALSE,2018-01-02 22:53:52,T06,1500000,1,CCID0394,CC11,1,5,M0001,CTY06,CTY06-023,EDC0002,LEDC3973,OEDC1209,1155874.24,10000000,70700,1.58,1
TX00021,FALSE,2018-01-03 00:17:14,T01,200000,1,CCID5066,CC08,2,1,M0001,CTY06,CTY06-173,EDC3400,LEDC2534,OEDC0377,1813464.65,15000000,100000,2.23,0
